UNITID,year,total_enrollment,undergrad_enrollment,grad_enrollment,XEYTOTLT_total
110583,2014,38153.0,32516.0,5637.0,R
110592,2014,24607.0,20353.0,4254.0,C
110608,2014,39906.0,34719.0,5187.0,R
110617,2014,31822.0,28778.0,3044.0,R
110635,2014,39722.0,28919.0,10803.0,R
110644,2014,35523.0,28499.0,7024.0,R
110653,2014,30833.0,25001.0,5832.0,R
110662,2014,43378.0,30815.0,12563.0,R
110671,2014,22838.0,20018.0,2820.0,R
110680,2014,31434.0,25436.0,5998.0,R
110699,2014,3130.0,,3130.0,R
110705,2014,23851.0,20807.0,3044.0,R
110714,2014,18130.0,16497.0,1633.0,R
110778,2014,741.0,300.0,441.0,R
110875,2014,150.0,150.0,,R
110918,2014,33.0,33.0,,R
111009,2014,661.0,661.0,,R
111054,2014,314.0,314.0,,R
111081,2014,1512.0,1012.0,500.0,R
111188,2014,1062.0,1062.0,,R
111391,2014,886.0,,886.0,R
111434,2014,10812.0,10812.0,,R
111461,2014,30998.0,30998.0,,R
111513,2014,293.0,293.0,,R
111638,2014,835.0,835.0,,R
111708,2014,459.0,459.0,,R
111717,2014,637.0,637.0,,R
111726,2014,453.0,453.0,,R
111744,2014,220.0,220.0,,R
111762,2014,199.0,199.0,,R
111771,2014,146.0,146.0,,R
111799,2014,138.0,138.0,,R
111887,2014,27467.0,27467.0,,R
111896,2014,8303.0,8303.0,,R
111920,2014,18300.0,18300.0,,R
111939,2014,25305.0,25305.0,,R
111948,2014,8648.0,6501.0,2147.0,R
111966,2014,619.0,89.0,530.0,R
112075,2014,5379.0,2179.0,3200.0,R
112084,2014,1099.0,1066.0,33.0,R
112127,2014,86.0,,86.0,R
112172,2014,17483.0,17483.0,,R
112181,2014,175.0,175.0,,R
112190,2014,38132.0,38132.0,,R
112251,2014,2412.0,,2412.0,R
112260,2014,1346.0,1332.0,14.0,R
112288,2014,665.0,665.0,,R
112367,2014,1662.0,1662.0,,R
112385,2014,18330.0,18330.0,,R
112394,2014,757.0,745.0,12.0,R
112446,2014,1230.0,756.0,474.0,R
112455,2014,66.0,66.0,,R
112525,2014,3825.0,,3825.0,R
112561,2014,3866.0,3866.0,,R
112570,2014,383.0,383.0,,R
112686,2014,12589.0,12589.0,,R
112826,2014,10670.0,10670.0,,R
113096,2014,19860.0,19860.0,,R
113111,2014,7476.0,7476.0,,R
113193,2014,13399.0,13399.0,,R
113218,2014,13614.0,13614.0,,R
113236,2014,20551.0,20551.0,,R
113333,2014,35540.0,35540.0,,R
113397,2014,2239.0,2239.0,,R
113449,2014,363.0,363.0,,R
113537,2014,60.0,41.0,19.0,R
113573,2014,11559.0,11559.0,,R
113582,2014,246.0,246.0,,R
113634,2014,30162.0,30162.0,,R
113698,2014,2404.0,1789.0,615.0,R
113704,2014,96.0,,96.0,R
113856,2014,52110.0,52110.0,,R
113908,2014,892.0,892.0,,R
113980,2014,32178.0,32178.0,,R
114044,2014,399.0,399.0,,R
114071,2014,724.0,724.0,,R
114080,2014,456.0,456.0,,R
114114,2014,311.0,,311.0,R
114123,2014,563.0,563.0,,R
114266,2014,11272.0,11272.0,,R
114354,2014,4650.0,4650.0,,R
114390,2014,834.0,834.0,,R
114415,2014,280.0,280.0,,R
114433,2014,3476.0,3476.0,,R
114460,2014,425.0,425.0,,R
114549,2014,1545.0,,1545.0,R
114585,2014,516.0,,516.0,R
114628,2014,57.0,57.0,,R
114637,2014,99.0,99.0,,R
114716,2014,28517.0,28517.0,,R
114734,2014,49.0,,49.0,R
114761,2014,135.0,135.0,,R
114789,2014,30162.0,30162.0,,R
114813,2014,4103.0,2897.0,1206.0,R
114840,2014,3854.0,,3854.0,R
114859,2014,33499.0,33499.0,,R
114938,2014,9570.0,9570.0,,R
114947,2014,431.0,431.0,,R
115001,2014,19918.0,19918.0,,R
115010,2014,531.0,531.0,,R
115083,2014,4279.0,688.0,3591.0,R
115126,2014,17752.0,17752.0,,R
115214,2014,259.0,,259.0,R
115296,2014,25215.0,25215.0,,R
115357,2014,52.0,52.0,,R
115393,2014,13721.0,13721.0,,R
115409,2014,814.0,814.0,,R
115454,2014,1778.0,1778.0,,R
115472,2014,2556.0,2556.0,,R
115490,2014,2552.0,2552.0,,R
115515,2014,1628.0,1628.0,,R
115533,2014,2289.0,2289.0,,R
115658,2014,174.0,174.0,,R
115728,2014,1538.0,953.0,585.0,R
115746,2014,1211.0,,1211.0,R
115755,2014,8854.0,8287.0,567.0,R
115773,2014,1376.0,1121.0,255.0,R
115861,2014,9674.0,9674.0,,R
115931,2014,633.0,633.0,,R
116226,2014,273.0,269.0,4.0,R
116350,2014,432.0,432.0,,R
116439,2014,18618.0,18618.0,,R
116466,2014,2018.0,2018.0,,R
116475,2014,987.0,987.0,,R
116484,2014,1398.0,1398.0,,R
116563,2014,277.0,277.0,,R
116712,2014,1766.0,394.0,1372.0,R
116846,2014,233.0,114.0,119.0,R
117052,2014,18452.0,18452.0,,R
117104,2014,699.0,634.0,65.0,R
117113,2014,2644.0,2644.0,,R
117140,2014,10923.0,6382.0,4541.0,R
117168,2014,582.0,549.0,33.0,R
117195,2014,5373.0,5373.0,,R
117238,2014,231.0,231.0,,R
117247,2014,18748.0,18748.0,,R
117274,2014,4912.0,4912.0,,R
117520,2014,487.0,,487.0,R
117557,2014,612.0,129.0,483.0,R
117575,2014,232.0,90.0,142.0,R
117627,2014,3111.0,2493.0,618.0,R
117636,2014,5557.0,1632.0,3925.0,R
117645,2014,30644.0,30644.0,,R
117672,2014,1927.0,1260.0,667.0,R
117690,2014,14113.0,14113.0,,R
117706,2014,28454.0,28454.0,,R
117715,2014,11996.0,11996.0,,R
117724,2014,20878.0,20878.0,,R
117733,2014,27301.0,27301.0,,R
117751,2014,1760.0,1261.0,499.0,R
117788,2014,31207.0,31207.0,,R
117803,2014,264.0,264.0,,R
117867,2014,13233.0,13233.0,,R
117894,2014,12217.0,12217.0,,R
117928,2014,1817.0,1803.0,14.0,R
117946,2014,10775.0,6588.0,4187.0,R
117955,2014,425.0,425.0,,R
118116,2014,96.0,96.0,,R
118125,2014,59.0,59.0,,R
118134,2014,119.0,119.0,,R
118143,2014,91.0,91.0,,R
118161,2014,206.0,206.0,,R
118189,2014,146.0,146.0,,R
118198,2014,1533.0,1533.0,,R
118259,2014,849.0,849.0,,R
118277,2014,1961.0,1961.0,,R
118286,2014,1429.0,1429.0,,R
118347,2014,8489.0,8489.0,,R
118356,2014,4099.0,4099.0,,R
118541,2014,1098.0,1090.0,8.0,R
118684,2014,6099.0,6099.0,,R
118693,2014,795.0,795.0,,R
118718,2014,13606.0,13606.0,,R
118772,2014,10148.0,10148.0,,R
118888,2014,2066.0,1170.0,896.0,R
118912,2014,21194.0,21194.0,,R
118921,2014,1018.0,1018.0,,R
118930,2014,14621.0,14621.0,,R
118958,2014,66.0,66.0,,R
118967,2014,1240.0,1240.0,,R
118976,2014,23093.0,23093.0,,R
118994,2014,156.0,156.0,,R
119058,2014,844.0,25.0,819.0,R
119067,2014,14858.0,14858.0,,R
119137,2014,18644.0,18644.0,,R
119164,2014,36770.0,36770.0,,R
119173,2014,3604.0,2862.0,742.0,R
119216,2014,18055.0,18055.0,,R
119234,2014,199.0,199.0,,R
119270,2014,1835.0,1835.0,,R
119331,2014,8673.0,8673.0,,R
119359,2014,1114.0,1114.0,,R
119456,2014,820.0,820.0,,R
119465,2014,891.0,891.0,,R
119508,2014,1233.0,1233.0,,R
119544,2014,965.0,621.0,344.0,R
119553,2014,912.0,912.0,,R
119605,2014,29786.0,16000.0,13786.0,R
119678,2014,4304.0,,4304.0,R
119775,2014,576.0,409.0,167.0,R
119845,2014,245.0,245.0,,R
119951,2014,415.0,415.0,,R
120069,2014,372.0,372.0,,R
120078,2014,803.0,803.0,,R
120087,2014,306.0,306.0,,R
120166,2014,4426.0,482.0,3944.0,R
120184,2014,2434.0,1626.0,808.0,R
120254,2014,2207.0,2206.0,1.0,R
120272,2014,122.0,122.0,,R
120290,2014,16269.0,16269.0,,R
120342,2014,28052.0,28052.0,,R
120403,2014,1164.0,1086.0,78.0,R
120421,2014,10446.0,10446.0,,R
120537,2014,1870.0,1304.0,566.0,R
120661,2014,1793.0,1793.0,,R
120698,2014,1093.0,221.0,872.0,R
120740,2014,121.0,,121.0,R
120768,2014,1337.0,610.0,727.0,R
120795,2014,194.0,,194.0,R
120838,2014,291.0,30.0,261.0,R
120865,2014,2053.0,2045.0,8.0,R
120883,2014,6870.0,4086.0,2784.0,R
120953,2014,5119.0,5119.0,,R
120971,2014,34723.0,34723.0,,R
121017,2014,179.0,179.0,,R
121044,2014,34050.0,34050.0,,R
121150,2014,8231.0,3746.0,4485.0,R
121257,2014,1104.0,1104.0,,R
121275,2014,372.0,372.0,,R
121309,2014,3882.0,2607.0,1275.0,R
121345,2014,1627.0,1627.0,,R
121363,2014,5027.0,5027.0,,R
121381,2014,915.0,915.0,,R
121433,2014,185.0,185.0,,R
121619,2014,45832.0,45832.0,,R
121628,2014,102.0,,102.0,R
121637,2014,109.0,109.0,,R
121691,2014,6305.0,4501.0,1804.0,R
121707,2014,6568.0,6568.0,,R
121859,2014,293.0,293.0,,R
121868,2014,225.0,225.0,,R
121886,2014,24815.0,24815.0,,R
121901,2014,27033.0,27033.0,,R
121983,2014,747.0,260.0,487.0,R
121992,2014,216.0,216.0,,R
122117,2014,340.0,58.0,282.0,R
122126,2014,245.0,30.0,215.0,R
122180,2014,33406.0,33406.0,,R
122205,2014,32604.0,32604.0,,R
122296,2014,1987.0,948.0,1039.0,R
122339,2014,23117.0,23117.0,,R
122366,2014,389.0,389.0,,R
122375,2014,33136.0,33136.0,,R
122384,2014,18132.0,18132.0,,R
122409,2014,34893.0,29520.0,5373.0,R
122436,2014,9310.0,6123.0,3187.0,R
122454,2014,803.0,578.0,225.0,R
122506,2014,428.0,185.0,243.0,R
122597,2014,32375.0,28203.0,4172.0,R
122603,2014,170.0,,170.0,R
122612,2014,11934.0,7241.0,4693.0,R
122649,2014,195.0,,195.0,R
122658,2014,24078.0,24078.0,,R
122685,2014,8337.0,8337.0,,R
122728,2014,1342.0,1261.0,81.0,R
122746,2014,10540.0,10540.0,,R
122755,2014,33638.0,27264.0,6374.0,R
122791,2014,14720.0,14720.0,,R
122834,2014,983.0,983.0,,R
122843,2014,4111.0,3925.0,186.0,R
122852,2014,346.0,346.0,,R
122889,2014,26653.0,26653.0,,R
122931,2014,9974.0,5765.0,4209.0,R
122977,2014,41459.0,41459.0,,R
123013,2014,31474.0,31474.0,,R
123095,2014,715.0,,715.0,R
123165,2014,1086.0,1049.0,37.0,R
123208,2014,1778.0,1778.0,,R
123217,2014,13726.0,13726.0,,R
123280,2014,72.0,59.0,13.0,R
123299,2014,12206.0,12206.0,,R
123341,2014,24413.0,24413.0,,R
123350,2014,247.0,247.0,,R
123396,2014,164.0,164.0,,R
123448,2014,267.0,,267.0,R
123457,2014,1507.0,1164.0,343.0,R
123484,2014,4028.0,4028.0,,R
123493,2014,1154.0,1154.0,,R
