UNITID,year,F2D01,F2D16,F2A02,F2A03,total_expenses,change_in_net_assets,expendable_net_assets,assets_to_liabilities,operating_margin,expenses_to_revenue,endowment_boy,endowment_eoy,q_F2D01,q_F2D16,q_F2A02,q_F2A03,q_total_expenses,q_change_in_net_assets,q_expendable_net_assets,q_endowment_eoy,reported_field_count,all_fields_reported
101435,2016,11228286,19614987,82088052.0,25742139.0,21224418.0,-1609431.0,9385301.0,3.188859014396589,-0.08205108675320559,1.0820510867532056,48278643.0,46960612.0,True,True,True,True,True,True,True,True,8,True
101435,2017,11407561,23956077,87049661.0,28907652.0,22159981.0,1796096.0,9966570.0,3.0113016788772744,0.07497454612455955,0.9250254538754404,46960612.0,48175439.0,True,True,True,True,True,True,True,True,8,True
101435,2018,11360823,24399475,87740895.0,27417305.0,22217894.0,2181581.0,11823183.0,3.2002012962251394,0.08941098117889831,0.9105890188211017,48175439.0,51200406.0,True,True,True,True,True,True,True,True,8,True
101435,2019,12136759,23333211,86309501.0,26153792.0,23501092.0,-167881.0,12289300.0,3.3000759889808715,-0.007194937722030628,1.0071949377220306,51200406.0,50818280.0,True,True,True,True,True,True,True,True,8,True
101435,2020,12068260,23808475,90105209.0,29825484.0,23465278.0,343197.0,4203671.0,3.0210812002246135,0.014414908976740425,0.9855850910232595,50818280.0,51910937.0,True,True,True,True,True,True,True,True,8,True
101435,2021,11496855,35997787,97943913.0,25948177.0,24281776.0,11716011.0,8746839.0,3.7745970747771604,0.3254647570418704,0.6745352429581296,51910937.0,60206711.0,True,True,True,True,True,True,True,True,8,True
101435,2022,11495206,22101081,93441263.0,24374132.0,25029686.0,-2928605.0,8324708.0,3.833624229162294,-0.132509581771136,1.132509581771136,60206711.0,57163022.0,True,True,True,True,True,True,True,True,8,True
101435,2023,11088604,22393410,90689998.0,23654335.0,24424877.0,-2031467.0,6500890.0,3.8339694605661077,-0.09071717974171865,1.0907171797417186,57163022.0,53910160.0,True,True,True,True,True,True,True,True,8,True
101435,2024,11610782,28272325,94789198.0,24955486.0,25474276.0,2798049.0,7268578.0,3.798331076381362,0.0989677714867808,0.9010322285132192,53910160.0,56797744.0,True,True,True,True,True,True,True,True,8,True
101453,2014,592145,4462283,13563571.0,2381836.0,2970324.0,1491959.0,6135314.0,5.694586445078502,0.33434880754985735,0.6656511924501427,8515507.0,9141335.0,True,True,True,True,True,True,True,True,8,True
101453,2015,581286,3622037,14043699.0,2320070.0,3080143.0,541894.0,5902527.0,6.053135896761735,0.14961028835431553,0.8503897116456844,9141335.0,9673420.0,True,True,True,True,True,True,True,True,8,True
101453,2016,578518,2982412,14360876.0,2746743.0,3091908.0,-109496.0,5715287.0,5.228328969983722,-0.03671390807172181,1.0367139080717218,9673420.0,9741072.0,True,True,True,True,True,True,True,True,8,True
101453,2017,505260,4093408,15389330.0,2603312.0,2876264.0,1171885.0,6372013.0,5.911442808238121,0.28628590162524725,0.7026575411002275,9741072.0,9551013.0,True,True,True,True,True,True,True,True,8,True
101453,2018,644325,3948105,16015624.0,2539745.0,3258244.0,689858.0,6938094.0,6.305996861889678,0.1747314217833619,0.8252678183584277,9551013.0,10288695.0,True,True,True,True,True,True,True,True,8,True
101453,2019,239792,5817221,18177340.0,1879885.0,2995640.0,2821576.0,9059058.0,9.66938935094434,0.48503847455683735,0.5149606659262215,10288695.0,11825721.0,True,True,True,True,True,True,True,True,8,True
101453,2020,817141,4280862,19196743.0,2031445.0,3413020.0,867843.0,4587346.0,9.449797065635545,0.20272622663379478,0.797274006964018,11825721.0,12502663.0,True,True,True,True,True,True,True,True,8,True
101453,2021,893150,7201618,22978534.0,2119918.0,3508300.0,3693318.0,7126751.0,10.839350389967914,0.5128455855336953,0.48715441446630464,12502663.0,15150265.0,True,True,True,True,True,True,True,True,8,True
101453,2022,383659,3067142,22146000.0,1551864.0,3331617.0,-264475.0,4335179.0,14.27058041168556,-0.0862284824113132,1.0862284824113133,15150265.0,14385884.0,True,True,True,True,True,True,True,True,8,True
101453,2023,414176,4981267,23274296.0,1418191.0,3719298.0,1261969.0,8284380.0,16.411256311737983,0.25334297478934575,0.7466570252106542,14385884.0,15040187.0,True,True,True,True,True,True,True,True,8,True
101453,2024,316188,9802352,29273729.0,1277274.0,3662002.0,6140350.0,14367889.0,22.918910899305864,0.6264159866938057,0.3735840133061943,15040187.0,15830314.0,True,True,True,True,True,True,True,True,8,True
