UNITID,F2D01__last,F2D16__last,F2A02__last,F2A03__last,total_expenses__last,change_in_net_assets__last,expendable_net_assets__last,endowment_eoy__last,operating_margin__last,expenses_to_revenue__last,assets_to_liabilities__last,operating_margin__mean3,expenses_to_revenue__mean3,assets_to_liabilities__mean3,reported_field_count__mean3,F2D16__slope,total_expenses__slope,expendable_net_assets__slope,F2D16__pct3,total_expenses__pct3,expendable_net_assets__pct3,log_F2D16,log_F2A02,log_F2A03,log_total_expenses,log_expendable_net_assets,log_endowment_eoy,tuition_dependence,closed_by_2024,as_of_year
107080,11257983,70600481,355041104.0,97430981.0,52898174.0,17702307.0,84640664.0,219105629.0,0.2507391840574004,0.7492608159425996,3.64402678035234,-0.0518914332803665,1.0486617257807216,3.1875599369045475,8.0,-933853.2636363189,-878130.9636363456,-7721855.018181711,0.0710407054135505,-0.09514141563358128,-0.4413081413775291,18.07254752963563,19.687744129469085,18.39465480838183,17.783879397178602,18.253925382848692,19.20506450026477,0.15946042917186357,0,2019
107123,789380,1156199,,,,,,,,,,,,,8.0,24914.709090909466,,,0.33163222409954657,,,13.960649323630513,,,,,,0.6827371412706636,0,2019
107141,20549104,73311097,314168365.0,8453037.0,53113484.0,20197613.0,104117299.0,188646910.0,0.2755055349942451,0.7244944650057549,37.166330278691554,0.14038596404709566,0.8596140359529042,21.05278126453279,8.0,1255360.3272727397,148552.98181818772,-4759306.627272593,0.15569708836478102,0.1066688583287371,-0.16729394631227573,18.110222560580446,19.56543959762227,15.950036461346365,17.787941408773364,18.461028706137043,19.055387630002528,0.28030004789043056,0,2019
107512,20778398,62933092,226598867.0,52618536.0,55273022.0,7660070.0,12538145.0,140325456.0,0.1217176807394113,0.8782823192605886,4.306445679142422,0.08761936775293354,0.9123806322470664,3.210678903130339,8.0,1323951.4090909439,1301371.600000006,-2893086.75454541,0.25669714481773487,0.3772310383943645,-0.6567145614315029,17.95758270414434,19.238691910958764,17.77857903007322,17.827795517446706,16.34428623534867,18.759474975512692,0.3301664885621701,0,2019
107558,8517537,40887658,205679820.0,23286117.0,37290952.0,3596706.0,61414298.0,141527346.0,0.0879655665286576,0.9120344334713424,8.832722948184104,0.0755681930436618,0.9244322601894336,24.010624745300472,8.0,1779300.4181818226,1700302.890909098,1607929.5636363435,0.34979080840495436,0.870152822038213,0.15471146370371255,17.526338839540262,19.141831250637594,16.963367946988743,17.434261308277893,17.933153248740552,18.768003521391957,0.2083155997831913,0,2019
107600,6111566,24087829,69815100.0,15947836.0,25480745.0,-1392916.0,9123746.0,14822763.0,-0.0578265480048035,1.0578265480048037,4.377716199238567,0.014487977861104314,0.9855120221388958,3.701245281273442,8.0,1489381.5727272679,932184.8545454526,-1753761.1727272486,0.4259090604768388,0.629557270932068,-0.6472734608338929,16.997217291662807,18.0613608910379,16.58483376671382,17.05343366610464,16.02639113293576,16.511674665165717,0.25372008411384855,0,2019
107840,6660292,16197787,19447516.0,3226573.0,14003497.0,2194290.0,0.0,79851.0,0.1354685056668543,0.8645314943331456,6.027297693249153,0.13653733766714102,0.863462662332859,11.580432541462814,7.909090909090909,1402209.7818181873,1101766.8818181886,-232659.63636362925,5.5687919476695855,4.883164738730882,-1.0,16.600385247669863,16.78322995921103,14.986931451163986,16.454817713513293,0.0,11.287930200292545,0.4111853057457787,0,2019
107877,2801318,11521706,46855799.0,4045837.0,13001101.0,3015160.0,26908923.0,14166817.0,0.2616938845688303,1.128400689967267,11.58123745469726,0.07220851157299873,0.9559319738983731,10.743143083295816,8.0,414120.37272726954,546376.4181818182,336706.02727272734,0.22844276885399104,0.613835531315316,0.10913304366944089,16.259743379338214,17.662585358345854,15.213199256362994,16.38054468106387,17.107968536768023,16.46641302752242,0.2431339595021779,0,2019
108269,1621575,2134292,2134292.0,339153.0,2314819.0,0.0,0.0,,0.0,1.084584021305426,6.293006401240738,0.0,0.9484224906737275,2.871653741408266,7.909090909090909,88614.91818181692,54536.72727272708,-104274.46363636284,0.32800875096522575,0.4469074700641752,-1.0,14.573646002262423,14.573646002262423,12.734209560496035,14.654842488699792,0.0,,0.7597718587709648,0,2019
108852,5297473,7169077,24651083.0,17727382.0,7609543.0,150667.0,0.0,1141829.0,0.021016234028453,1.0614397083473923,1.3905653412331274,0.05850038318855846,0.9905611838344147,1.2870349936008556,7.818181818181818,-61606.709090909004,63989.409090910245,-525542.0272727213,-0.0005076178932449317,0.2527038050076591,-1.0,15.785287612954367,17.0203314331453,16.690621064223123,15.84491380688615,0.0,13.948142796470863,0.7389337567444177,0,2019
108861,516312,4286442,20106229.0,4193390.0,4122411.0,164031.0,7281951.0,9687602.0,0.0382674021951072,0.9617325978048928,4.794743393769719,0.005842381145939209,0.9941576188540608,4.53448927198689,8.0,160170.4000000026,140822.2363636368,-141200.84545453938,0.28495243828007993,0.6004049140964844,-0.14707832537154522,15.27096780945042,16.816540275253406,15.249020272461182,15.231948986917589,15.800909516100075,16.08635758484528,0.12045234719144689,0,2019
